"Zip Code","Community","Estimated Median Income"
90001,"Los Angeles (South Los Angeles), Florence-Graham","$43,360"
90002,"Los Angeles (Southeast Los Angeles, Watts)","$37,285"
90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)","$40,598"
90004,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)","$49,675"
90005,"Los Angeles (Hancock Park, Koreatown, Wilshire Center, Wilshire Park, Windsor Square)","$38,491"
90006,"Los Angeles (Byzantine-Latino Quarter, Harvard Heights, Koreatown, Pico Heights)","$37,072"
90007,"Los Angeles (Southeast Los Angeles, Univerity Park)","$27,406"
90008,"Los Angeles (Baldwin Hills, Crenshaw, Leimert Park)","$43,364"
90010,"Los Angeles (Hancock Park, Wilshire Center, Windsor Square)","$63,112"
90011,"Los Angeles (Southeast Los Angeles)","$40,940"
90012,"Los Angeles (Downtown Civic Center, Chinatown, Arts District, Bunker Hill, Historic Core, Little Tokyo)","$47,027"
90013,"Los Angeles (Downtown Central, Downtown Fashion District)","$22,316"
90014,"Los Angeles (Downtown Historic Core, Arts District)","$40,641"
90015,"Los Angeles (Dowtown Fashion District, South Park-South)","$43,890"
90016,"Los Angeles (West Adams)","$48,715"
90017,"Los Angeles (Downtown Bunker Hill, City West, South Park-North)","$35,605"
90018,"Los Angeles (Jefferson Park, Leimert Park)","$45,984"
90019,"Los Angeles (Arlington Heights, Country Club Park, Mid-City)","$56,389"
90020,"Los Angeles (Hancock Park, Western Wilton, Wilshire Center, Windsor Square)","$49,068"
90021,"Los Angeles (Downtown Fashion District, Downtown Southeast)","$21,635"
90022,"East Los Angeles","$46,051"
90023,"Commerce, East Los Angeles","$42,972"
90024,"Los Angeles (Westwood)","$65,855"
90025,"Los Angeles (Sawtelle, West Los Angeles)","$87,280"
90026,"Los Angeles (Echo Park, Silver Lake)","$65,269"
90027,"Los Angeles (Griffith Park, Hollywood, Los Feliz)","$66,947"
90028,"Los Angeles (Hollywood)","$45,499"
90029,"Los Angeles (East Hollywood)","$41,998"
90031,"Los Angeles (Lincoln Heights, Montecito Heights)","$48,479"
90032,"Los Angeles (El Sereno, Monterey Hills)","$57,225"
90033,"Los Angeles (Boyle Heights)","$38,266"
90034,"Los Angeles (Palms)","$75,714"
90035,"Los Angeles (West Fairfax)","$89,337"
90036,"Los Angeles (Fairfax, Melrose, Miracle Mile, Park La Brea, Wilshire-La Brea)","$80,539"
90037,"Los Angeles (South Los Angeles)","$35,424"
90038,"Los Angeles (Hollywood)","$47,116"
90039,"Los Angeles (Atwater Village, Elysian Valley, Silver Lake)","$90,538"
90040,"Commerce, City of","$47,120"
90041,"Los Angeles (Eagle Rock)","$85,971"
90042,"Los Angeles (Highland Park)","$64,267"
90043,"Los Angeles (Hyde Park, View Park, Windsor Hills)","$54,729"
90044,"Athens, Los Angeles (South Los Angeles)","$35,981"
90045,"Los Angeles (Los Angeles International Airport, Westchester)","$104,578"
90046,"Los Angeles (Hollywood), West Hollywood","$72,266"
90047,"Los Angeles (South Los Angeles)","$52,605"
90048,"Los Angeles (Mid-City West), West Hollywood","$100,586"
90049,"Los Angeles (Bel Air Estates, Brentwood)","$129,688"
90056,"Ladera Heights","$92,656"
90057,"Los Angeles (Westlake)","$37,700"
90058,"Los Angeles (Southeast Los Angeles), Vernon","$21,964"
90059,"Los Angeles (Southeast Los Angeles, Watts), Willowbrook","$44,838"
90061,"Los Angeles (South Los Angeles)","$42,500"
90062,"Los Angeles (South Los Angeles)","$49,443"
90063,"City Terrace, Los Angeles (Boyle Heights)","$48,559"
90064,"Los Angeles (Cheviot Hills, Rancho Park)","$102,117"
90065,"Los Angeles (Cypress Park, Glassell Park, Mt Washington)","$67,479"
90066,"Culver City, Los Angeles (Mar Vista)","$83,899"
90067,"Los Angeles (Century City)","$118,393"
90068,"Los Angeles (Hollywood)","$88,535"
90069,"Los Angeles (Hollywood, Melrose), West Hollywood","$93,380"
90071,"Los Angeles (Downtown Bunker Hill, City West, Historic Core, South Park-North) ","$61,875"
90077,"Los Angeles (Bel Air Estates, Beverly Glen)","$209,531"
90094,"Los Angeles (Playa Vista)","$155,417"
90201,"Bell, Bell Gardens, Cudahy","$44,046"
90210,"Beverly Hills","$147,270"
90211,"Beverly Hills","$86,437"
90212,"Beverly Hills","$95,080"
90220,"Compton, Rancho Dominguez","$57,074"
90221,"Compton, East Rancho Dominguez","$51,377"
90222,"Compton, Rosewood, Willowbrook","$49,894"
90230,"Culver City","$85,524"
90232,"Culver City","$90,467"
90240,"Downey","$86,383"
90241,"Downey","$72,715"
90242,"Downey","$71,233"
90245,"El Segundo","$109,577"
90247,"Gardena","$55,561"
90248,"Gardena","$61,448"
90249,"Gardena","$60,669"
90250,"Hawthorne (Holly Park)","$56,304"
90254,"Hermosa Beach","$136,702"
90255,"Huntington Park, Walnut Park","$44,962"
90260,"Lawndale","$65,340"
90262,"Lynwood","$52,313"
90265,"Malibu","$152,378"
90266,"Manhattan Beach","$153,023"
90270,"Bell, Maywood","$44,124"
90272,"Los Angeles (Castellemare, Pacific Highlands, Pacific Palisades, Topanga State Park)","$192,500"
90274,"Palos Verdes Estates, Rolling Hills, Rolling Hills Estates","$169,919"
90275,"Palos Verdes Estates, Rancho Palos Verdes, Rolling Hills Estates","$138,293"
90277,"Redondo Beach, Torrance","$106,185"
90278,"Redondo Beach, Torrance","$116,783"
90280,"South Gate","$52,321"
90290,"Topanga","$129,772"
90291,"Los Angeles (Venice)","$99,652"
90292,"Los Angeles (Marina Peninsula), Marina del Rey","$114,726"
90293,"Los Angeles (Playa del Rey)","$105,865"
90301,"Inglewood","$47,464"
90302,"Inglewood","$51,850"
90303,"Inglewood","$55,897"
90304,"Inglewood, Lennox","$49,120"
90305,"Inglewood","$80,165"
90401,"Santa Monica (Downtown)","$82,681"
90402,"Santa Monica","$154,583"
90403,"Santa Monica","$107,420"
90404,"Santa Monica","$78,542"
90405,"Santa Monica (Ocean Park, Santa Monica Airport, Sunpark)","$95,674"
90501,"Torrance","$71,712"
90502,"Torrance, West Carson","$73,826"
90503,"Torrance","$93,063"
90504,"Torrance","$90,210"
90505,"Torrance","$99,764"
90601,"City of Industry, Whittier","$76,732"
90602,"Whittier","$55,216"
90603,"Whittier","$103,535"
90604,"East La Mirada, South Whittier, Whittier","$74,944"
90605,"South Whittier, Whittier","$78,297"
90606,"Los Nietos, West Whittier","$74,986"
90631,"La Habra Heights","$83,629"
90638,"La Mirada","$95,723"
90640,"Montebello","$56,009"
90650,"Norwalk","$70,667"
90660,"Pico Rivera","$67,636"
90670,"Santa Fe Springs","$71,343"
90701,"Artesia","$67,765"
90703,"Cerritos","$105,832"
90704,"Avalon, Santa Catalina Island","$73,287"
90706,"Bellflower","$60,011"
90710,"Los Angeles (Harbor City)","$63,907"
90712,"Lakewood","$96,634"
90713,"Lakewood","$102,970"
90715,"Lakewood","$76,105"
90716,"Hawaiian Gardens","$50,149"
90717,"Lomita","$71,388"
90723,"Paramount","$55,670"
90731,"Los Angeles (San Pedro, Terminal Island)","$53,456"
90732,"Los Angeles (San Pedro), Rancho Palos Verdes","$104,567"
90740,"Long Beach (overlaps Orange County)","$68,947"
90744,"Los Angeles (Wilmington)","$50,875"
90745,"Carson","$80,176"
90746,"Carson","$89,364"
90755,"Signal Hill","$75,426"
90802,"Long Beach","$54,616"
90803,"Long Beach (Belmont Shore, Marina, Naples)","$90,278"
90804,"Long Beach (East Long Beach)","$52,948"
90805,"Long Beach (North Long Beach)","$50,914"
90806,"Long Beach","$54,437"
90807,"Long Beach (Bixby Knolls)","$78,948"
90808,"Long Beach","$110,625"
90810,"Carson, Dominguez, Long Beach","$60,227"
90813,"Long Beach","$38,449"
90814,"Long Beach","$73,391"
90815,"Long Beach","$94,559"
91001,"Altadena","$101,061"
91006,"Arcadia","$103,224"
91007,"Arcadia","$83,964"
91008,"Bradbury","$96,500"
91010,"Azusa, Bradbury, Duarte, Irwindale, Monrovia","$74,738"
91011,"La Cañada Flintridge","$175,652"
91016,"Monrovia","$77,622"
91020,"Montrose","$67,742"
91024,"Sierra Madre","$100,988"
91030,"South Pasadena","$104,432"
91040,"Los Angeles (Shadow Hills, Sunland)","$86,594"
91042,"Los Angeles (Tujunga)","$64,532"
91046,"Glendale (Verdugo City)","---"
91101,"Pasadena","$70,075"
91103,"Pasadena","$71,231"
91104,"Pasadena","$77,919"
91105,"Pasadena","$131,158"
91106,"Pasadena","$82,211"
91107,"Pasadena","$102,850"
91108,"San Marino","$165,765"
91201,"Glendale","$60,101"
91202,"Glendale","$75,703"
91203,"Glendale","$61,071"
91204,"Glendale (Tropico)","$49,122"
91205,"Glendale (Tropico)","$44,835"
91206,"Glendale","$70,141"
91207,"Glendale","$85,956"
91208,"Glendale","$108,374"
91210,"Glendale (Glendale Galleria PO Boxes)","$135,741"
91214,"Glendale, La Crescenta, Montrose","$104,981"
91301,"Agoura Hills, Cornell","$124,012"
91302,"Calabasas, Hidden Hills, Monte Nido","$133,996"
91303,"Los Angeles (Canoga Park)","$61,250"
91304,"Los Angeles (Canoga Park, West Hills), Box Canyon","$70,505"
91306,"Los Angeles (Winnetka)","$69,917"
91307,"Los Angeles (West Hills), Bell Canyon","$120,474"
91311,"Los Angeles (Chatsworth)","$91,897"
91316,"Los Angeles (Encino)","$76,978"
91321,"Santa Clarita (Newhall)","$73,187"
91324,"Los Angeles (Northridge)","$80,260"
91325,"Los Angeles (Northridge)","$71,400"
91326,"Los Angeles (Northridge, Porter Ranch)","$117,590"
91331,"Los Angeles (Arleta, Hansen Hills, Pacoima)","$63,807"
91335,"Los Angeles (Reseda)","$63,748"
91340,"San Fernando, Los Angeles (Mission Hills, Pacoima)","$57,398"
91342,"Los Angeles (Lake View Terrace, Sylmar), Kagel Canyon","$74,050"
91343,"Los Angeles (North Hills)","$66,661"
91344,"Los Angeles (Granada Hills)","$96,162"
91345,"Los Angeles (Mission Hills)","$77,273"
91350,"Bouquet Canyon, Green Valley, Mint Canyon, Santa Clarita (Canyon County)","$117,707"
91351,"Santa Clarita (Canyon Country)","$81,758"
91352,"Los Angeles (La Tuna Canyon, Sun Valley)","$57,145"
91354,"Santa Clarita (Valencia)","$128,308"
91355,"Santa Clarita (Valencia)","$95,696"
91356,"Los Angeles (Tarzana)","$76,929"
91361,"Westlake Village","$119,303"
91362,"Westlake Village","$117,566"
91364,"Los Angeles (Woodland Hills)","$106,225"
91367,"Los Angeles (Woodland Hills)","$96,085"
91381,"Stevenson Ranch","$135,357"
91384,"Castaic, Val Verde","$112,122"
91387,"Santa Clarita (Canyon Country), Fair Oaks Ranch, Mint Canyon","$98,371"
91390,"Agua Dulce, Green Valley, Santa Clarita (Saugus)","$120,617"
91401,"Los Angeles (Valley Glen, Van Nuys)","$53,882"
91402,"Los Angeles (Panorama City)","$45,796"
91403,"Los Angeles (Sherman Oaks, Van Nuys)","$104,802"
91405,"Los Angeles (Valley Glen)","$47,037"
91406,"Los Angeles (Lake Balboa, Van Nuys)","$59,472"
91411,"Los Angeles (Van Nuys)","$58,605"
91423,"Los Angeles (Sherman Oaks, Van Nuys)","$90,931"
91436,"Los Angeles (Encino)","$174,085"
91501,"Burbank","$67,817"
91502,"Burbank","$47,148"
91504,"Burbank (Glenoaks)","$83,994"
91505,"Burbank","$87,138"
91506,"Burbank","$81,597"
91601,"Los Angeles (North Hollywood, Toluca Terrace)","$53,911"
91602,"Los Angeles (North Hollywood, Studio City, Toluca Lake, West Toluca Lake)","$84,008"
91604,"Los Angeles (North Hollywood, Studio City)","$111,341"
91605,"Los Angeles (North Hollywood)","$50,623"
91606,"Los Angeles (North Hollywood, Valley Glen)","$50,155"
91607,"Los Angeles (North Hollywood, Sherman Village, Valley Glen, Valley Village)","$71,691"
91702,"Azusa, Irwindale","$68,852"
91706,"Baldwin Park, Irwindale","$65,755"
91711,"Claremont","$101,270"
91722,"Covina","$80,089"
91723,"Covina","$64,422"
91724,"Charter Oak, Covina","$82,976"
91731,"El Monte","$42,293"
91732,"El Monte","$51,268"
91733,"El Monte, South El Monte","$50,691"
91740,"Glendora","$85,590"
91741,"Glendora","$110,430"
91744,"City of Industry, La Puente, Valinda","$71,243"
91745,"Hacienda Heights","$85,975"
91746,"Avocado Heights, Bassett, West Puente Valley","$70,825"
