"Zip Code","Community","Estimated Median Income"
91748,"City of Industry, Rowland Heights","$74,438"
91750,"La Verne","$89,360"
91754,"Monterey Park","$63,909"
91755,"Monterey Park","$58,411"
91759,"Mount Baldy (Portion in LA County)","$71,042"
91765,"Diamond Bar","$100,480"
91766,"Pomona (Phillips Ranch)","$59,819"
91767,"Pomona","$62,153"
91768,"Pomona","$56,002"
91770,"Rosemead","$59,776"
91773,"San Dimas","$86,201"
91775,"San Gabriel","$86,415"
91776,"San Gabriel","$58,658"
91780,"Temple City","$75,672"
91789,"City of Industry, Diamond Bar, Walnut","$101,841"
91790,"West Covina","$82,128"
91791,"West Covina","$84,530"
91792,"West Covina","$82,954"
91801,"Alhambra","$60,519"
91803,"Alhambra","$63,264"
93510,"Acton","$105,714"
93532,"Elizabeth Lake, Lake Hughes, Leona Valley, Sandberg, Three Points","$64,969"
93534,"Lancaster","$41,537"
93535,"Hi Vista, Lake Los Angeles, Lancaster, Roosevelt Corner, Wilsona Gardens","$46,600"
93536,"Del Sur, Fairmont, Lancaster, Metler Valley, Neenach, Quartz Hill","$79,990"
93543,"Juniper Hills, Littlerock, Sun Village","$51,719"
93544,"Crystalaire, Llano","$43,913"
93550,"Lake Los Angeles, Palmdale","$45,918"
93551,"City Ranch, Leona Valley, Palmdale","$93,055"
93552,"Palmdale","$65,728"
93553,"Juniper Hills, Pearblossom","$51,630"
93563,"Pearblossom, Valyermo","---"
93591,"Lake Los Angeles, Palmdale","$47,453"
