"Zip Code","Community","Estimated Median Income"
90001,"Los Angeles (South Los Angeles), Florence-Graham","$35,660"
90002,"Los Angeles (Southeast Los Angeles, Watts)","$34,000"
90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)","$34,397"
90004,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)","$46,581"
90005,"Los Angeles (Hancock Park, Koreatown, Wilshire Center, Wilshire Park, Windsor Square)","$32,461"
90006,"Los Angeles (Byzantine-Latino Quarter, Harvard Heights, Koreatown, Pico Heights)","$33,790"
90007,"Los Angeles (Southeast Los Angeles, Univerity Park)","$23,070"
90008,"Los Angeles (Baldwin Hills, Crenshaw, Leimert Park)","$36,641"
90010,"Los Angeles (Hancock Park, Wilshire Center, Windsor Square)","$47,115"
90011,"Los Angeles (Southeast Los Angeles)","$33,824"
90012,"Los Angeles (Downtown Civic Center, Chinatown, Arts District, Bunker Hill, Historic Core, Little Tokyo)","$38,786"
90013,"Los Angeles (Downtown Central, Downtown Fashion District)","$22,808"
90014,"Los Angeles (Downtown Historic Core, Arts District)","$37,619"
90015,"Los Angeles (Dowtown Fashion District, South Park-South)","$32,979"
90016,"Los Angeles (West Adams)","$43,443"
90017,"Los Angeles (Downtown Bunker Hill, City West, South Park-North)","$28,638"
90018,"Los Angeles (Jefferson Park, Leimert Park)","$37,341"
90019,"Los Angeles (Arlington Heights, Country Club Park, Mid-City)","$50,671"
90020,"Los Angeles (Hancock Park, Western Wilton, Wilshire Center, Windsor Square)","$42,407"
90021,"Los Angeles (Downtown Fashion District, Downtown Southeast)","$12,864"
90022,"East Los Angeles","$41,276"
90023,"Commerce, East Los Angeles","$40,225"
90024,"Los Angeles (Westwood)","$59,418"
90025,"Los Angeles (Sawtelle, West Los Angeles)","$78,713"
90026,"Los Angeles (Echo Park, Silver Lake)","$54,342"
90027,"Los Angeles (Griffith Park, Hollywood, Los Feliz)","$58,344"
90028,"Los Angeles (Hollywood)","$40,068"
90029,"Los Angeles (East Hollywood)","$37,379"
90031,"Los Angeles (Lincoln Heights, Montecito Heights)","$41,126"
90032,"Los Angeles (El Sereno, Monterey Hills)","$47,370"
90033,"Los Angeles (Boyle Heights)","$31,683"
90034,"Los Angeles (Palms)","$65,572"
90035,"Los Angeles (West Fairfax)","$76,677"
90036,"Los Angeles (Fairfax, Melrose, Miracle Mile, Park La Brea, Wilshire-La Brea)","$74,279"
90037,"Los Angeles (South Los Angeles)","$31,045"
90038,"Los Angeles (Hollywood)","$36,996"
90039,"Los Angeles (Atwater Village, Elysian Valley, Silver Lake)","$81,394"
90040,"Commerce, City of","$43,585"
90041,"Los Angeles (Eagle Rock)","$73,250"
90042,"Los Angeles (Highland Park)","$55,596"
90043,"Los Angeles (Hyde Park, View Park, Windsor Hills)","$41,812"
90044,"Athens, Los Angeles (South Los Angeles)","$32,278"
90045,"Los Angeles (Los Angeles International Airport, Westchester)","$90,399"
90046,"Los Angeles (Hollywood), West Hollywood","$65,990"
90047,"Los Angeles (South Los Angeles)","$42,551"
90048,"Los Angeles (Mid-City West), West Hollywood","$85,396"
90049,"Los Angeles (Bel Air Estates, Brentwood)","$121,671"
90056,"Ladera Heights","$84,438"
90057,"Los Angeles (Westlake)","$31,337"
90058,"Los Angeles (Southeast Los Angeles), Vernon","$16,425"
90059,"Los Angeles (Southeast Los Angeles, Watts), Willowbrook","$37,653"
90061,"Los Angeles (South Los Angeles)","$37,126"
90062,"Los Angeles (South Los Angeles)","$40,018"
90063,"City Terrace, Los Angeles (Boyle Heights)","$44,121"
90064,"Los Angeles (Cheviot Hills, Rancho Park)","$92,194"
90065,"Los Angeles (Cypress Park, Glassell Park, Mt Washington)","$58,405"
90066,"Culver City, Los Angeles (Mar Vista)","$75,209"
90067,"Los Angeles (Century City)","$123,889"
90068,"Los Angeles (Hollywood)","$82,718"
90069,"Los Angeles (Hollywood, Melrose), West Hollywood","$86,403"
90077,"Los Angeles (Bel Air Estates, Beverly Glen)","$184,722"
90094,"Los Angeles (Playa Vista)","$136,250"
90201,"Bell, Bell Gardens, Cudahy","$39,498"
90210,"Beverly Hills","$149,732"
90211,"Beverly Hills","$71,402"
90212,"Beverly Hills","$103,032"
90220,"Compton, Rancho Dominguez","$54,014"
90221,"Compton, East Rancho Dominguez","$46,008"
90222,"Compton, Rosewood, Willowbrook","$40,719"
90230,"Culver City","$79,242"
90232,"Culver City","$82,254"
90240,"Downey","$81,205"
90241,"Downey","$64,222"
90242,"Downey","$62,402"
90245,"El Segundo","$92,942"
90247,"Gardena","$46,076"
90248,"Gardena","$58,703"
90249,"Gardena","$53,964"
90250,"Hawthorne (Holly Park)","$49,417"
90254,"Hermosa Beach","$124,849"
90255,"Huntington Park, Walnut Park","$40,325"
90260,"Lawndale","$58,792"
90262,"Lynwood","$45,897"
90265,"Malibu","$137,672"
90266,"Manhattan Beach","$148,899"
90270,"Bell, Maywood","$37,553"
90272,"Los Angeles (Castellemare, Pacific Highlands, Pacific Palisades, Topanga State Park)","$180,962"
90274,"Palos Verdes Estates, Rolling Hills, Rolling Hills Estates","$158,497"
90275,"Palos Verdes Estates, Rancho Palos Verdes, Rolling Hills Estates","$124,384"
90277,"Redondo Beach, Torrance","$101,532"
90278,"Redondo Beach, Torrance","$107,242"
90280,"South Gate","$47,281"
90290,"Topanga","$103,553"
90291,"Los Angeles (Venice)","$88,078"
90292,"Los Angeles (Marina Peninsula), Marina del Rey","$103,948"
90293,"Los Angeles (Playa del Rey)","$100,042"
90301,"Inglewood","$42,100"
90302,"Inglewood","$43,788"
90303,"Inglewood","$44,470"
90304,"Inglewood, Lennox","$41,054"
90305,"Inglewood","$68,760"
90401,"Santa Monica (Downtown)","$71,154"
90402,"Santa Monica","$140,179"
90403,"Santa Monica","$92,096"
90404,"Santa Monica","$73,601"
90405,"Santa Monica (Ocean Park, Santa Monica Airport, Sunpark)","$88,445"
90501,"Torrance","$64,995"
90502,"Torrance, West Carson","$68,676"
90503,"Torrance","$84,615"
90504,"Torrance","$79,352"
90505,"Torrance","$91,569"
90601,"City of Industry, Whittier","$69,740"
90602,"Whittier","$48,427"
90603,"Whittier","$95,354"
90604,"East La Mirada, South Whittier, Whittier","$66,974"
90605,"South Whittier, Whittier","$66,963"
90606,"Los Nietos, West Whittier","$66,566"
90623,"Cerritos (overlaps Orange County)","$91,131"
90630,"Hawaiian Gardens (overlaps Orange County)","$90,165"
90631,"La Habra Heights","$76,910"
90638,"La Mirada","$86,141"
90640,"Montebello","$50,326"
90650,"Norwalk","$63,669"
90660,"Pico Rivera","$61,524"
90670,"Santa Fe Springs","$66,509"
90701,"Artesia","$62,863"
90703,"Cerritos","$98,175"
90704,"Avalon, Santa Catalina Island","$63,021"
90706,"Bellflower","$52,944"
90710,"Los Angeles (Harbor City)","$57,968"
90712,"Lakewood","$83,627"
90713,"Lakewood","$94,110"
90715,"Lakewood","$69,905"
90716,"Hawaiian Gardens","$38,500"
90717,"Lomita","$61,077"
90723,"Paramount","$49,064"
90731,"Los Angeles (San Pedro, Terminal Island)","$49,464"
