"Zip Code","Community","Estimated Median Income"
90732,"Los Angeles (San Pedro), Rancho Palos Verdes","$89,440"
90740,"Long Beach (overlaps Orange County)","$65,299"
90744,"Los Angeles (Wilmington)","$43,284"
90745,"Carson","$73,053"
90746,"Carson","$81,988"
90755,"Signal Hill","$75,828"
90802,"Long Beach","$51,302"
90803,"Long Beach (Belmont Shore, Marina, Naples)","$83,861"
90804,"Long Beach (East Long Beach)","$47,437"
90805,"Long Beach (North Long Beach)","$47,981"
90806,"Long Beach","$50,615"
90807,"Long Beach (Bixby Knolls)","$75,057"
90808,"Long Beach","$102,563"
90810,"Carson, Dominguez, Long Beach","$56,061"
90813,"Long Beach","$34,257"
90814,"Long Beach","$64,623"
90815,"Long Beach","$84,714"
91001,"Altadena","$91,090"
91006,"Arcadia","$99,360"
91007,"Arcadia","$79,964"
91008,"Bradbury","$112,813"
91010,"Azusa, Bradbury, Duarte, Irwindale, Monrovia","$68,599"
91011,"La Cañada Flintridge","$160,288"
91016,"Monrovia","$71,341"
91020,"Montrose","$69,150"
91024,"Sierra Madre","$98,547"
91030,"South Pasadena","$92,847"
91040,"Los Angeles (Shadow Hills, Sunland)","$77,910"
91042,"Los Angeles (Tujunga)","$53,412"
91046,"Glendale (Verdugo City)","$24,609"
91101,"Pasadena","$64,223"
91103,"Pasadena","$69,334"
91104,"Pasadena","$72,189"
91105,"Pasadena","$112,765"
91106,"Pasadena","$77,380"
91107,"Pasadena","$92,266"
91108,"San Marino","$152,553"
91201,"Glendale","$56,580"
91202,"Glendale","$66,657"
91203,"Glendale","$51,360"
91204,"Glendale (Tropico)","$44,304"
91205,"Glendale (Tropico)","$38,730"
91206,"Glendale","$57,379"
91207,"Glendale","$81,110"
91208,"Glendale","$105,000"
91210,"Glendale (Glendale Galleria PO Boxes)","$155,833"
91214,"Glendale, La Crescenta, Montrose","$94,322"
91301,"Agoura Hills, Cornell","$117,615"
91302,"Calabasas, Hidden Hills, Monte Nido","$122,967"
91303,"Los Angeles (Canoga Park)","$51,486"
91304,"Los Angeles (Canoga Park, West Hills), Box Canyon","$64,367"
91306,"Los Angeles (Winnetka)","$64,772"
91307,"Los Angeles (West Hills), Bell Canyon","$111,043"
91311,"Los Angeles (Chatsworth)","$82,738"
91316,"Los Angeles (Encino)","$68,720"
91321,"Santa Clarita (Newhall)","$66,178"
91324,"Los Angeles (Northridge)","$68,477"
91325,"Los Angeles (Northridge)","$65,129"
91326,"Los Angeles (Northridge, Porter Ranch)","$105,611"
91331,"Los Angeles (Arleta, Hansen Hills, Pacoima)","$57,353"
91335,"Los Angeles (Reseda)","$55,580"
91340,"San Fernando, Los Angeles (Mission Hills, Pacoima)","$54,703"
91342,"Los Angeles (Lake View Terrace, Sylmar), Kagel Canyon","$68,600"
91343,"Los Angeles (North Hills)","$61,692"
91344,"Los Angeles (Granada Hills)","$86,460"
91345,"Los Angeles (Mission Hills)","$74,193"
91350,"Bouquet Canyon, Green Valley, Mint Canyon, Santa Clarita (Canyon County)","$103,837"
91351,"Santa Clarita (Canyon Country)","$76,706"
91352,"Los Angeles (La Tuna Canyon, Sun Valley)","$52,171"
91354,"Santa Clarita (Valencia)","$120,560"
91355,"Santa Clarita (Valencia)","$92,066"
91356,"Los Angeles (Tarzana)","$71,654"
91361,"Westlake Village","$116,114"
91362,"Westlake Village","$108,167"
91364,"Los Angeles (Woodland Hills)","$100,323"
91367,"Los Angeles (Woodland Hills)","$84,937"
91381,"Stevenson Ranch","$121,719"
91384,"Castaic, Val Verde","$106,431"
91387,"Santa Clarita (Canyon Country), Fair Oaks Ranch, Mint Canyon","$87,346"
91390,"Agua Dulce, Green Valley, Santa Clarita (Saugus)","$108,836"
91401,"Los Angeles (Valley Glen, Van Nuys)","$51,784"
91402,"Los Angeles (Panorama City)","$41,669"
91403,"Los Angeles (Sherman Oaks, Van Nuys)","$89,552"
91405,"Los Angeles (Valley Glen)","$41,283"
91406,"Los Angeles (Lake Balboa, Van Nuys)","$51,564"
91411,"Los Angeles (Van Nuys)","$50,332"
91423,"Los Angeles (Sherman Oaks, Van Nuys)","$82,554"
91436,"Los Angeles (Encino)","$159,965"
91501,"Burbank","$64,006"
91502,"Burbank","$41,784"
91504,"Burbank (Glenoaks)","$73,501"
91505,"Burbank","$82,630"
91506,"Burbank","$72,681"
91601,"Los Angeles (North Hollywood, Toluca Terrace)","$50,832"
91602,"Los Angeles (North Hollywood, Studio City, Toluca Lake, West Toluca Lake)","$78,526"
91604,"Los Angeles (North Hollywood, Studio City)","$99,745"
91605,"Los Angeles (North Hollywood)","$43,004"
91606,"Los Angeles (North Hollywood, Valley Glen)","$44,773"
91607,"Los Angeles (North Hollywood, Sherman Village, Valley Glen, Valley Village)","$60,772"
91702,"Azusa, Irwindale","$59,104"
91706,"Baldwin Park, Irwindale","$57,240"
91711,"Claremont","$97,002"
91722,"Covina","$70,632"
91723,"Covina","$63,270"
91724,"Charter Oak, Covina","$82,821"
91731,"El Monte","$36,344"
91732,"El Monte","$48,254"
91733,"El Monte, South El Monte","$42,758"
91740,"Glendora","$76,825"
91741,"Glendora","$99,474"
91744,"City of Industry, La Puente, Valinda","$63,318"
91745,"Hacienda Heights","$81,397"
91746,"Avocado Heights, Bassett, West Puente Valley","$64,607"
91748,"City of Industry, Rowland Heights","$64,983"
91750,"La Verne","$83,743"
91754,"Monterey Park","$58,056"
91755,"Monterey Park","$49,755"
91759,"Mount Baldy (Portion in LA County)","$51,719"
91765,"Diamond Bar","$95,285"
91766,"Pomona (Phillips Ranch)","$54,163"
91767,"Pomona","$54,157"
91768,"Pomona","$50,044"
91770,"Rosemead","$51,383"
91773,"San Dimas","$81,020"
91775,"San Gabriel","$81,250"
91776,"San Gabriel","$52,051"
91780,"Temple City","$67,910"
91789,"City of Industry, Diamond Bar, Walnut","$95,081"
91790,"West Covina","$74,965"
91791,"West Covina","$80,020"
91792,"West Covina","$70,932"
91801,"Alhambra","$53,644"
91803,"Alhambra","$61,424"
93510,"Acton","$92,727"
93523,"Edwards AFB (Portion in LA County)","$62,937"
93532,"Elizabeth Lake, Lake Hughes, Leona Valley, Sandberg, Three Points","$57,667"
93534,"Lancaster","$37,883"
93535,"Hi Vista, Lake Los Angeles, Lancaster, Roosevelt Corner, Wilsona Gardens","$42,978"
93536,"Del Sur, Fairmont, Lancaster, Metler Valley, Neenach, Quartz Hill","$72,634"
93543,"Juniper Hills, Littlerock, Sun Village","$41,626"
93544,"Crystalaire, Llano","$50,265"
93550,"Lake Los Angeles, Palmdale","$39,279"
93551,"City Ranch, Leona Valley, Palmdale","$87,628"
93552,"Palmdale","$60,612"
93553,"Juniper Hills, Pearblossom","$58,105"
93563,"Pearblossom, Valyermo","$83,875"
93591,"Lake Los Angeles, Palmdale","$44,487"
