"Zip Code","Community","Estimated Median Income"
90605,"South Whittier, Whittier","$83,667"
90606,"Los Nietos, West Whittier","$82,377"
90631,"La Habra Heights","$93,045"
90638,"La Mirada","$97,838"
90640,"Montebello","$66,460"
90650,"Norwalk","$83,217"
90660,"Pico Rivera","$78,056"
90670,"Santa Fe Springs","$76,397"
90701,"Artesia","$83,321"
90703,"Cerritos","$115,272"
90704,"Avalon, Santa Catalina Island","$77,644"
90706,"Bellflower","$70,236"
90710,"Los Angeles (Harbor City)","$68,537"
90712,"Lakewood","$108,877"
90713,"Lakewood","$112,118"
90715,"Lakewood","$79,941"
90716,"Hawaiian Gardens","$66,537"
90717,"Lomita","$85,728"
90723,"Paramount","$60,493"
90731,"Los Angeles (San Pedro, Terminal Island)","$61,144"
90732,"Los Angeles (San Pedro), Rancho Palos Verdes","$105,297"
90740,"Long Beach (overlaps Orange County)","$75,019"
90744,"Los Angeles (Wilmington)","$55,141"
90745,"Carson","$93,759"
90746,"Carson","$96,939"
90755,"Signal Hill","$79,260"
90802,"Long Beach","$62,720"
90803,"Long Beach (Belmont Shore, Marina, Naples)","$98,428"
90804,"Long Beach (East Long Beach)","$55,647"
90805,"Long Beach (North Long Beach)","$57,232"
90806,"Long Beach","$60,172"
90807,"Long Beach (Bixby Knolls)","$81,622"
90808,"Long Beach","$118,814"
90810,"Carson, Dominguez, Long Beach","$67,687"
90813,"Long Beach","$44,867"
90814,"Long Beach","$84,195"
90815,"Long Beach","$102,939"
91001,"Altadena","$114,668"
91006,"Arcadia","$113,817"
91007,"Arcadia","$87,339"
91008,"Bradbury","$167,500"
91010,"Azusa, Bradbury, Duarte, Irwindale, Monrovia","$88,357"
91011,"La Cañada Flintridge","$187,297"
91016,"Monrovia","$88,285"
91020,"Montrose","$59,412"
91024,"Sierra Madre","$116,884"
91030,"South Pasadena","$115,088"
91040,"Los Angeles (Shadow Hills, Sunland)","$98,044"
91042,"Los Angeles (Tujunga)","$73,115"
91046,"Glendale (Verdugo City)","---"
91101,"Pasadena","$79,154"
91103,"Pasadena","$73,705"
91104,"Pasadena","$85,049"
91105,"Pasadena","$143,892"
91106,"Pasadena","$84,153"
91107,"Pasadena","$111,084"
91108,"San Marino","$170,223"
91201,"Glendale","$59,432"
91202,"Glendale","$82,476"
91203,"Glendale","$66,245"
91204,"Glendale (Tropico)","$63,443"
91205,"Glendale (Tropico)","$48,888"
91206,"Glendale","$82,664"
91207,"Glendale","$103,505"
91208,"Glendale","$107,000"
91210,"Glendale (Glendale Galleria PO Boxes)","$105,536"
91214,"Glendale, La Crescenta, Montrose","$116,201"
91301,"Agoura Hills, Cornell","$142,177"
91302,"Calabasas, Hidden Hills, Monte Nido","$146,521"
91303,"Los Angeles (Canoga Park)","$66,494"
91304,"Los Angeles (Canoga Park, West Hills), Box Canyon","$74,987"
91306,"Los Angeles (Winnetka)","$77,597"
91307,"Los Angeles (West Hills), Bell Canyon","$125,343"
91311,"Los Angeles (Chatsworth)","$101,623"
91316,"Los Angeles (Encino)","$79,858"
91321,"Santa Clarita (Newhall)","$74,424"
91324,"Los Angeles (Northridge)","$88,003"
91325,"Los Angeles (Northridge)","$73,119"
91326,"Los Angeles (Northridge, Porter Ranch)","$130,322"
91331,"Los Angeles (Arleta, Hansen Hills, Pacoima)","$72,089"
91335,"Los Angeles (Reseda)","$68,163"
91340,"San Fernando, Los Angeles (Mission Hills, Pacoima)","$67,638"
91342,"Los Angeles (Lake View Terrace, Sylmar), Kagel Canyon","$84,312"
91343,"Los Angeles (North Hills)","$71,380"
91344,"Los Angeles (Granada Hills)","$104,640"
91345,"Los Angeles (Mission Hills)","$85,659"
91350,"Bouquet Canyon, Green Valley, Mint Canyon, Santa Clarita (Canyon County)","$122,399"
91351,"Santa Clarita (Canyon Country)","$90,671"
91352,"Los Angeles (La Tuna Canyon, Sun Valley)","$65,085"
91354,"Santa Clarita (Valencia)","$136,229"
91355,"Santa Clarita (Valencia)","$104,637"
91356,"Los Angeles (Tarzana)","$90,886"
91361,"Westlake Village","$122,305"
91362,"Westlake Village","$127,279"
91364,"Los Angeles (Woodland Hills)","$116,443"
91367,"Los Angeles (Woodland Hills)","$98,803"
91381,"Stevenson Ranch","$144,476"
91384,"Castaic, Val Verde","$119,866"
91387,"Santa Clarita (Canyon Country), Fair Oaks Ranch, Mint Canyon","$100,523"
91390,"Agua Dulce, Green Valley, Santa Clarita (Saugus)","$133,150"
91401,"Los Angeles (Valley Glen, Van Nuys)","$65,458"
91402,"Los Angeles (Panorama City)","$51,485"
91403,"Los Angeles (Sherman Oaks, Van Nuys)","$104,499"
91405,"Los Angeles (Valley Glen)","$54,391"
91406,"Los Angeles (Lake Balboa, Van Nuys)","$64,875"
91411,"Los Angeles (Van Nuys)","$67,430"
91423,"Los Angeles (Sherman Oaks, Van Nuys)","$97,727"
91436,"Los Angeles (Encino)","$157,898"
91501,"Burbank","$78,630"
91502,"Burbank","$52,906"
91504,"Burbank (Glenoaks)","$89,219"
91505,"Burbank","$94,610"
91506,"Burbank","$83,217"
91601,"Los Angeles (North Hollywood, Toluca Terrace)","$61,761"
91602,"Los Angeles (North Hollywood, Studio City, Toluca Lake, West Toluca Lake)","$83,866"
91604,"Los Angeles (North Hollywood, Studio City)","$124,271"
91605,"Los Angeles (North Hollywood)","$56,403"
91606,"Los Angeles (North Hollywood, Valley Glen)","$57,146"
91607,"Los Angeles (North Hollywood, Sherman Village, Valley Glen, Valley Village)","$80,871"
91702,"Azusa, Irwindale","$74,175"
91706,"Baldwin Park, Irwindale","$72,737"
91711,"Claremont","$112,430"
91722,"Covina","$86,583"
91723,"Covina","$73,977"
91724,"Charter Oak, Covina","$90,799"
91731,"El Monte","$52,758"
91732,"El Monte","$58,883"
